covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),comorbidity_outcome
atrial_fibrillation,0.11080439381047882,1.1171763588699042,0.13997520806627173,-0.16354197272791424,0.38515076034887186,0.8491308579151495,1.46983589771099,0.0,0.7916001364900142,0.42859386732038773,1.2223168880128061,heart_failure
sleep_apnea,-0.05938262691912654,0.9423461331692957,0.11527332287629939,-0.2853141881349305,0.1665489342966774,0.7517780174767267,1.1812213366914723,0.0,-0.515146309982323,0.6064507837854384,0.7215375259962319,heart_failure
nafld,0.03780918583026693,1.0385330471496441,0.09113392928250014,-0.14081003333305353,0.2164284049935874,0.8686543113892141,1.2416341873639345,0.0,0.41487496619469455,0.6782334367341493,0.5601461842759564,heart_failure
pvd,-0.005732645642087589,0.9942837546170178,0.16182128709251783,-0.3228965402753389,0.3114312489911637,0.7240487603783609,1.365377912088004,0.0,-0.035425782015996894,0.9717402265354883,0.04135740243319648,heart_failure
stroke,-0.04128149838722428,0.9595589776212138,0.1607761861732775,-0.3563970328585548,0.2738340360841062,0.7001945647907277,1.314996542152054,0.0,-0.256763761908949,0.7973611461837149,0.326694787487605,heart_failure
mi,-0.03091952175396637,0.9695535979093283,0.15501655838504072,-0.33474639319599675,0.27290734968806396,0.7155195239643556,1.3137785171963419,0.0,-0.199459477594428,0.8419033386270454,0.248273492104713,heart_failure
drug_class_num,0.06432230304381203,1.0664360589650008,0.03738297759409293,-0.008946986675477914,0.13759159276310198,0.9910929185107388,1.1475068044777679,0.0,1.7206308106921884,0.0853178388168937,3.5510087684895786,hyperlipidemia
age_at_index,-0.0011852810938786148,0.9988154210743075,0.0022200453118807494,-0.005536489949211875,0.0031659277614546457,0.9944788081656263,1.0031709446036732,0.0,-0.533899505354908,0.5934110643196442,0.7528962683552147,hyperlipidemia
cci,-0.0051850447892033726,0.9948283743525613,0.04212660931557263,-0.08775168183851527,0.07738159226010853,0.9159883050167124,1.0804542907334422,0.0,-0.12308241449868255,0.9020418365860214,0.1487337478418789,hyperlipidemia
hypertension,-0.11067770798061631,0.8952272270302458,0.06032288684430499,-0.2289083936389391,0.007552977677706504,0.7954013939950875,1.007581573362459,0.0,-1.834754829726211,0.0665420241875957,3.9095904365538163,hyperlipidemia
obesity,-0.10933957794130279,0.8964259593257232,0.06543922068477523,-0.23759809365983076,0.018918937777225184,0.7885195384198691,1.0190990348360334,0.0,-1.6708569692172572,0.09474993272864486,3.399731270787406,hyperlipidemia
ckd,0.09798760348638892,1.1029491123000774,0.09952823484898025,-0.09708415226245669,0.2930593592352345,0.9074796364554361,1.3405223604521814,0.0,0.9845206602435076,0.32485957824779016,1.622111852264613,hyperlipidemia
heart_failure,-0.026127026564163523,0.9742113310304523,0.09894595152130153,-0.2200575279619607,0.16780347483363367,0.8024726320195257,1.1827041566758785,0.0,-0.26405351772819907,0.7917386804877294,0.3369037587418315,hyperlipidemia
neuropathy,-0.09160537947231723,0.9124651559888006,0.07943409752986882,-0.2472933497753022,0.06408259083066775,0.7809115796913394,1.0661804518544267,0.0,-1.1532249036740394,0.2488180842676544,2.006836749551011,hyperlipidemia
retinopathy,-0.05325916884625811,0.9481342537765246,0.09062314131508105,-0.23087726198970077,0.12435892429718454,0.7938368940169359,1.1324222519257068,0.0,-0.5876994338684989,0.5567340556349578,0.844939758777331,hyperlipidemia
depression,0.017525987492645004,1.0176804687708167,0.08473635414983291,-0.14855421482225864,0.18360618980754864,0.8619532752601154,1.201542550209638,0.0,0.20682961485049406,0.8361429268928429,0.25817852304170746,hyperlipidemia
atrial_fibrillation,-0.057371078491247396,0.9442436158513239,0.10814190349324296,-0.2693253145576099,0.15458315757511507,0.7638947091531257,1.1671713331598144,0.0,-0.5305166326652657,0.5957537801038243,0.7472118944311282,hyperlipidemia
sleep_apnea,0.09728199996929988,1.1021711420288258,0.08995557829862184,-0.07902769370447181,0.27359169364307157,0.924014334710838,1.314677901291738,0.0,1.0814448843445463,0.27949926504909856,1.8390836054196658,hyperlipidemia
nafld,0.0006344335133129648,1.0006346348088218,0.06981221330933175,-0.13619499025400508,0.137463857280631,0.8726724532742873,1.1473602365036242,0.0,0.009087715218279157,0.9927491521382724,0.010498871277061847,hyperlipidemia
pvd,-0.10408131040689228,0.9011520214046616,0.12637245544316106,-0.35176677171338067,0.1436041508995961,0.7034441659233036,1.1544270391606999,0.0,-0.8236075657618702,0.4101625756936367,1.285732232334111,hyperlipidemia
stroke,-0.10101132191441971,0.90392279869136,0.12623863115346537,-0.3484344924328479,0.14641184860400847,0.705792148236145,1.1576728758402712,0.0,-0.8001617333098502,0.42361709768173617,1.2391672755220433,hyperlipidemia
mi,-0.030402539403389377,0.9700549695963757,0.12261957856136489,-0.2707324971831443,0.20992741837636553,0.7628205257540305,1.2335885208495956,0.0,-0.24794196620219539,0.8041793091197742,0.3144108776427799,hyperlipidemia
drug_class_num,0.038056966980993055,1.0387904079463945,0.04337171708216572,-0.0469500364477124,0.12306397040969852,0.9541350683768387,1.1309567664011786,0.0,0.8774604636679678,0.3802365842567108,1.3950307481019655,neuropathy
age_at_index,-0.0015859375414859504,0.9984153193928959,0.00257944509736185,-0.00664155703241359,0.003469681949441689,0.9933804493616346,1.003475708263639,0.0,-0.6148367116276218,0.5386625620973197,0.8925462958203156,neuropathy
cci,0.0031543216794880187,1.0031593017870273,0.04437562318831172,-0.08382030156112344,0.09012894492009949,0.919596491302309,1.094315381017493,0.0,0.07108230719605642,0.9433322493596988,0.08416210544946015,neuropathy
